,No,year,month,day,hour,season,PM_Dongsi,PM_Dongsihuan,PM_Nongzhanguan,PM_US Post,TEMP,sum,count,average
173,174,2010,1,8,5,4,,,,81.0,-15.0,81.0,1,81.0
174,175,2010,1,8,6,4,,,,71.0,-15.0,71.0,1,71.0
175,176,2010,1,8,7,4,,,,66.0,-13.0,66.0,1,66.0
176,177,2010,1,8,8,4,,,,92.0,-12.0,92.0,1,92.0
177,178,2010,1,8,9,4,,,,135.0,-12.0,135.0,1,135.0
178,179,2010,1,8,10,4,,,,155.0,-10.0,155.0,1,155.0
179,180,2010,1,8,11,4,,,,198.0,-10.0,198.0,1,198.0
180,181,2010,1,8,12,4,,,,250.0,-9.0,250.0,1,250.0
181,182,2010,1,8,13,4,,,,200.0,-8.0,200.0,1,200.0
182,183,2010,1,8,14,4,,,,231.0,-8.0,231.0,1,231.0
183,184,2010,1,8,15,4,,,,250.0,-8.0,250.0,1,250.0
184,185,2010,1,8,16,4,,,,212.0,-8.0,212.0,1,212.0
185,186,2010,1,8,17,4,,,,219.0,-8.0,219.0,1,219.0
186,187,2010,1,8,18,4,,,,227.0,-9.0,227.0,1,227.0
187,188,2010,1,8,19,4,,,,226.0,-11.0,226.0,1,226.0
188,189,2010,1,8,20,4,,,,225.0,-12.0,225.0,1,225.0
189,190,2010,1,8,21,4,,,,168.0,-14.0,168.0,1,168.0
190,191,2010,1,8,22,4,,,,169.0,-9.0,169.0,1,169.0
191,192,2010,1,8,23,4,,,,165.0,-11.0,165.0,1,165.0
192,193,2010,1,9,0,4,,,,159.0,-13.0,159.0,1,159.0
193,194,2010,1,9,1,4,,,,167.0,-13.0,167.0,1,167.0
194,195,2010,1,9,2,4,,,,196.0,-14.0,196.0,1,196.0
195,196,2010,1,9,3,4,,,,169.0,-15.0,169.0,1,169.0
196,197,2010,1,9,4,4,,,,155.0,-13.0,155.0,1,155.0
197,198,2010,1,9,5,4,,,,119.0,-16.0,119.0,1,119.0
198,199,2010,1,9,6,4,,,,106.0,-15.0,106.0,1,106.0
199,200,2010,1,9,7,4,,,,93.0,-15.0,93.0,1,93.0
200,201,2010,1,9,8,4,,,,84.0,-14.0,84.0,1,84.0
201,202,2010,1,9,9,4,,,,73.0,-9.0,73.0,1,73.0
202,203,2010,1,9,10,4,,,,66.0,-7.0,66.0,1,66.0
203,204,2010,1,9,11,4,,,,40.0,-6.0,40.0,1,40.0
204,205,2010,1,9,12,4,,,,49.0,-6.0,49.0,1,49.0
205,206,2010,1,9,13,4,,,,50.0,-5.0,50.0,1,50.0
206,207,2010,1,9,14,4,,,,49.0,-4.0,49.0,1,49.0
207,208,2010,1,9,15,4,,,,41.0,-4.0,41.0,1,41.0
208,209,2010,1,9,16,4,,,,37.0,-4.0,37.0,1,37.0
209,210,2010,1,9,17,4,,,,45.0,-4.0,45.0,1,45.0
210,211,2010,1,9,18,4,,,,44.0,-7.0,44.0,1,44.0
211,212,2010,1,9,19,4,,,,54.0,-6.0,54.0,1,54.0
212,213,2010,1,9,20,4,,,,50.0,-7.0,50.0,1,50.0
213,214,2010,1,9,21,4,,,,47.0,-6.0,47.0,1,47.0
214,215,2010,1,9,22,4,,,,66.0,-8.0,66.0,1,66.0
215,216,2010,1,9,23,4,,,,75.0,-8.0,75.0,1,75.0
216,217,2010,1,10,0,4,,,,82.0,-11.0,82.0,1,82.0
217,218,2010,1,10,1,4,,,,66.0,-13.0,66.0,1,66.0
218,219,2010,1,10,2,4,,,,83.0,-12.0,83.0,1,83.0
219,220,2010,1,10,3,4,,,,62.0,-13.0,62.0,1,62.0
220,221,2010,1,10,4,4,,,,40.0,-14.0,40.0,1,40.0
221,222,2010,1,10,5,4,,,,23.0,-13.0,23.0,1,23.0
222,223,2010,1,10,6,4,,,,25.0,-13.0,25.0,1,25.0
223,224,2010,1,10,7,4,,,,27.0,-14.0,27.0,1,27.0
224,225,2010,1,10,8,4,,,,35.0,-14.0,35.0,1,35.0
225,226,2010,1,10,9,4,,,,50.0,-12.0,50.0,1,50.0
226,227,2010,1,10,10,4,,,,70.0,-7.0,70.0,1,70.0
227,228,2010,1,10,11,4,,,,75.0,-7.0,75.0,1,75.0
228,229,2010,1,10,12,4,,,,58.0,-7.0,58.0,1,58.0
229,230,2010,1,10,13,4,,,,70.0,-6.0,70.0,1,70.0
230,231,2010,1,10,14,4,,,,68.0,-6.0,68.0,1,68.0
231,232,2010,1,10,15,4,,,,71.0,-5.0,71.0,1,71.0
232,233,2010,1,10,16,4,,,,88.0,-5.0,88.0,1,88.0
233,234,2010,1,10,17,4,,,,84.0,-6.0,84.0,1,84.0
234,235,2010,1,10,18,4,,,,83.0,-7.0,83.0,1,83.0
235,236,2010,1,10,19,4,,,,66.0,-6.0,66.0,1,66.0
236,237,2010,1,10,20,4,,,,27.0,-6.0,27.0,1,27.0
237,238,2010,1,10,21,4,,,,24.0,-4.0,24.0,1,24.0
238,239,2010,1,10,22,4,,,,22.0,-4.0,22.0,1,22.0
239,240,2010,1,10,23,4,,,,23.0,-5.0,23.0,1,23.0
240,241,2010,1,11,0,4,,,,27.0,-6.0,27.0,1,27.0
241,242,2010,1,11,1,4,,,,23.0,-8.0,23.0,1,23.0
242,243,2010,1,11,2,4,,,,17.0,-11.0,17.0,1,17.0
243,244,2010,1,11,3,4,,,,17.0,-11.0,17.0,1,17.0
244,245,2010,1,11,4,4,,,,16.0,-11.0,16.0,1,16.0
245,246,2010,1,11,5,4,,,,16.0,-12.0,16.0,1,16.0
246,247,2010,1,11,6,4,,,,20.0,-12.0,20.0,1,20.0
247,248,2010,1,11,7,4,,,,20.0,-13.0,20.0,1,20.0
248,249,2010,1,11,8,4,,,,18.0,-9.0,18.0,1,18.0
249,250,2010,1,11,9,4,,,,25.0,-10.0,25.0,1,25.0
250,251,2010,1,11,10,4,,,,26.0,-9.0,26.0,1,26.0
251,252,2010,1,11,11,4,,,,27.0,-9.0,27.0,1,27.0
252,253,2010,1,11,12,4,,,,28.0,-6.0,28.0,1,28.0
253,254,2010,1,11,13,4,,,,15.0,-5.0,15.0,1,15.0
254,255,2010,1,11,14,4,,,,24.0,-5.0,24.0,1,24.0
255,256,2010,1,11,15,4,,,,13.0,-5.0,13.0,1,13.0
256,257,2010,1,11,16,4,,,,13.0,-5.0,13.0,1,13.0
257,258,2010,1,11,17,4,,,,13.0,-5.0,13.0,1,13.0
258,259,2010,1,11,18,4,,,,17.0,-7.0,17.0,1,17.0
259,260,2010,1,11,19,4,,,,20.0,-7.0,20.0,1,20.0
260,261,2010,1,11,20,4,,,,27.0,-8.0,27.0,1,27.0
261,262,2010,1,11,21,4,,,,20.0,-10.0,20.0,1,20.0
262,263,2010,1,11,22,4,,,,15.0,-13.0,15.0,1,15.0
263,264,2010,1,11,23,4,,,,21.0,-12.0,21.0,1,21.0
264,265,2010,1,12,0,4,,,,21.0,-15.0,21.0,1,21.0
265,266,2010,1,12,1,4,,,,37.0,-14.0,37.0,1,37.0
266,267,2010,1,12,2,4,,,,26.0,-14.0,26.0,1,26.0
267,268,2010,1,12,3,4,,,,15.0,-18.0,15.0,1,15.0
268,269,2010,1,12,4,4,,,,9.0,-13.0,9.0,1,9.0
269,270,2010,1,12,5,4,,,,11.0,-14.0,11.0,1,11.0
270,271,2010,1,12,6,4,,,,11.0,-14.0,11.0,1,11.0
271,272,2010,1,12,7,4,,,,16.0,-12.0,16.0,1,16.0
272,273,2010,1,12,8,4,,,,13.0,-14.0,13.0,1,13.0
273,274,2010,1,12,9,4,,,,15.0,-12.0,15.0,1,15.0
274,275,2010,1,12,10,4,,,,21.0,-11.0,21.0,1,21.0
275,276,2010,1,12,11,4,,,,24.0,-11.0,24.0,1,24.0
276,277,2010,1,12,12,4,,,,22.0,-11.0,22.0,1,22.0
277,278,2010,1,12,13,4,,,,22.0,-11.0,22.0,1,22.0
278,279,2010,1,12,14,4,,,,22.0,-11.0,22.0,1,22.0
279,280,2010,1,12,15,4,,,,19.0,-11.0,19.0,1,19.0
280,281,2010,1,12,16,4,,,,23.0,-11.0,23.0,1,23.0
281,282,2010,1,12,17,4,,,,25.0,-11.0,25.0,1,25.0
282,283,2010,1,12,18,4,,,,25.0,-11.0,25.0,1,25.0
283,284,2010,1,12,19,4,,,,31.0,-11.0,31.0,1,31.0
284,285,2010,1,12,20,4,,,,25.0,-12.0,25.0,1,25.0
285,286,2010,1,12,21,4,,,,22.0,-12.0,22.0,1,22.0
286,287,2010,1,12,22,4,,,,22.0,-12.0,22.0,1,22.0
287,288,2010,1,12,23,4,,,,15.0,-12.0,15.0,1,15.0
288,289,2010,1,13,0,4,,,,16.0,-12.0,16.0,1,16.0
289,290,2010,1,13,1,4,,,,11.0,-12.0,11.0,1,11.0
290,291,2010,1,13,2,4,,,,11.0,-12.0,11.0,1,11.0
291,292,2010,1,13,3,4,,,,12.0,-13.0,12.0,1,12.0
292,293,2010,1,13,4,4,,,,11.0,-12.0,11.0,1,11.0
293,294,2010,1,13,5,4,,,,12.0,-12.0,12.0,1,12.0
294,295,2010,1,13,6,4,,,,27.0,-12.0,27.0,1,27.0
295,296,2010,1,13,7,4,,,,28.0,-12.0,28.0,1,28.0
296,297,2010,1,13,8,4,,,,34.0,-12.0,34.0,1,34.0
297,298,2010,1,13,9,4,,,,33.0,-11.0,33.0,1,33.0
298,299,2010,1,13,10,4,,,,36.0,-10.0,36.0,1,36.0
299,300,2010,1,13,11,4,,,,26.0,-9.0,26.0,1,26.0
300,301,2010,1,13,12,4,,,,49.0,-8.0,49.0,1,49.0
301,302,2010,1,13,13,4,,,,52.0,-6.0,52.0,1,52.0
302,303,2010,1,13,14,4,,,,47.0,-5.0,47.0,1,47.0
303,304,2010,1,13,15,4,,,,47.0,-5.0,47.0,1,47.0
304,305,2010,1,13,16,4,,,,39.0,-5.0,39.0,1,39.0
305,306,2010,1,13,17,4,,,,59.0,-7.0,59.0,1,59.0
306,307,2010,1,13,18,4,,,,76.0,-8.0,76.0,1,76.0
307,308,2010,1,13,19,4,,,,96.0,-9.0,96.0,1,96.0
308,309,2010,1,13,20,4,,,,95.0,-10.0,95.0,1,95.0
309,310,2010,1,13,21,4,,,,68.0,-13.0,68.0,1,68.0
310,311,2010,1,13,22,4,,,,65.0,-12.0,65.0,1,65.0
311,312,2010,1,13,23,4,,,,75.0,-13.0,75.0,1,75.0
312,313,2010,1,14,0,4,,,,257.0,-14.0,257.0,1,257.0
313,314,2010,1,14,1,4,,,,174.0,-15.0,174.0,1,174.0
314,315,2010,1,14,2,4,,,,164.0,-15.0,164.0,1,164.0
315,316,2010,1,14,3,4,,,,161.0,-16.0,161.0,1,161.0
316,317,2010,1,14,4,4,,,,137.0,-16.0,137.0,1,137.0
317,318,2010,1,14,5,4,,,,92.0,-17.0,92.0,1,92.0
318,319,2010,1,14,6,4,,,,64.0,-14.0,64.0,1,64.0
319,320,2010,1,14,7,4,,,,87.0,-17.0,87.0,1,87.0
320,321,2010,1,14,8,4,,,,87.0,-15.0,87.0,1,87.0
321,322,2010,1,14,9,4,,,,84.0,-14.0,84.0,1,84.0
322,323,2010,1,14,10,4,,,,95.0,-10.0,95.0,1,95.0
323,324,2010,1,14,11,4,,,,79.0,-9.0,79.0,1,79.0
324,325,2010,1,14,12,4,,,,75.0,-6.0,75.0,1,75.0
325,326,2010,1,14,13,4,,,,79.0,-5.0,79.0,1,79.0
326,327,2010,1,14,14,4,,,,86.0,-5.0,86.0,1,86.0
327,328,2010,1,14,15,4,,,,72.0,-4.0,72.0,1,72.0
328,329,2010,1,14,16,4,,,,89.0,-4.0,89.0,1,89.0
329,330,2010,1,14,17,4,,,,94.0,-5.0,94.0,1,94.0
330,331,2010,1,14,18,4,,,,69.0,-3.0,69.0,1,69.0
331,332,2010,1,14,19,4,,,,49.0,-3.0,49.0,1,49.0
332,333,2010,1,14,20,4,,,,33.0,-4.0,33.0,1,33.0
333,334,2010,1,14,21,4,,,,27.0,-5.0,27.0,1,27.0
334,335,2010,1,14,22,4,,,,20.0,-6.0,20.0,1,20.0
335,336,2010,1,14,23,4,,,,36.0,-6.0,36.0,1,36.0
336,337,2010,1,15,0,4,,,,37.0,-7.0,37.0,1,37.0
337,338,2010,1,15,1,4,,,,30.0,-8.0,30.0,1,30.0
338,339,2010,1,15,2,4,,,,18.0,-10.0,18.0,1,18.0
339,340,2010,1,15,3,4,,,,21.0,-10.0,21.0,1,21.0
340,341,2010,1,15,4,4,,,,13.0,-9.0,13.0,1,13.0
341,342,2010,1,15,5,4,,,,23.0,-9.0,23.0,1,23.0
342,343,2010,1,15,6,4,,,,26.0,-9.0,26.0,1,26.0
343,344,2010,1,15,7,4,,,,27.0,-9.0,27.0,1,27.0
344,345,2010,1,15,8,4,,,,30.0,-8.0,30.0,1,30.0
345,346,2010,1,15,9,4,,,,28.0,-8.0,28.0,1,28.0
346,347,2010,1,15,10,4,,,,26.0,-7.0,26.0,1,26.0
347,348,2010,1,15,11,4,,,,26.0,-6.0,26.0,1,26.0
348,349,2010,1,15,12,4,,,,31.0,-5.0,31.0,1,31.0
349,350,2010,1,15,13,4,,,,35.0,-4.0,35.0,1,35.0
350,351,2010,1,15,14,4,,,,36.0,-3.0,36.0,1,36.0
351,352,2010,1,15,15,4,,,,37.0,-3.0,37.0,1,37.0
352,353,2010,1,15,16,4,,,,64.0,-2.0,64.0,1,64.0
353,354,2010,1,15,17,4,,,,83.0,-5.0,83.0,1,83.0
354,355,2010,1,15,18,4,,,,91.0,-6.0,91.0,1,91.0
355,356,2010,1,15,19,4,,,,90.0,-6.0,90.0,1,90.0
356,357,2010,1,15,20,4,,,,102.0,-6.0,102.0,1,102.0
357,358,2010,1,15,21,4,,,,94.0,-8.0,94.0,1,94.0
358,359,2010,1,15,22,4,,,,87.0,-10.0,87.0,1,87.0
359,360,2010,1,15,23,4,,,,141.0,-11.0,141.0,1,141.0
360,361,2010,1,16,0,4,,,,211.0,-11.0,211.0,1,211.0
361,362,2010,1,16,1,4,,,,242.0,-13.0,242.0,1,242.0
362,363,2010,1,16,2,4,,,,271.0,-12.0,271.0,1,271.0
363,364,2010,1,16,3,4,,,,249.0,-13.0,249.0,1,249.0
364,365,2010,1,16,4,4,,,,200.0,-12.0,200.0,1,200.0
365,366,2010,1,16,5,4,,,,147.0,-10.0,147.0,1,147.0
366,367,2010,1,16,6,4,,,,114.0,-10.0,114.0,1,114.0
367,368,2010,1,16,7,4,,,,102.0,-11.0,102.0,1,102.0
368,369,2010,1,16,8,4,,,,108.0,-11.0,108.0,1,108.0
369,370,2010,1,16,9,4,,,,135.0,-9.0,135.0,1,135.0
370,371,2010,1,16,10,4,,,,120.0,-9.0,120.0,1,120.0
371,372,2010,1,16,11,4,,,,148.0,-6.0,148.0,1,148.0
372,373,2010,1,16,12,4,,,,127.0,-5.0,127.0,1,127.0
373,374,2010,1,16,13,4,,,,128.0,-4.0,128.0,1,128.0
374,375,2010,1,16,14,4,,,,140.0,-3.0,140.0,1,140.0
375,376,2010,1,16,15,4,,,,148.0,-3.0,148.0,1,148.0
376,377,2010,1,16,16,4,,,,150.0,-3.0,150.0,1,150.0
377,378,2010,1,16,17,4,,,,154.0,-4.0,154.0,1,154.0
378,379,2010,1,16,18,4,,,,197.0,-7.0,197.0,1,197.0
379,380,2010,1,16,19,4,,,,235.0,-7.0,235.0,1,235.0
380,381,2010,1,16,20,4,,,,261.0,-8.0,261.0,1,261.0
381,382,2010,1,16,21,4,,,,269.0,-9.0,269.0,1,269.0
382,383,2010,1,16,22,4,,,,266.0,-11.0,266.0,1,266.0
383,384,2010,1,16,23,4,,,,263.0,-11.0,263.0,1,263.0
384,385,2010,1,17,0,4,,,,241.0,-12.0,241.0,1,241.0
385,386,2010,1,17,1,4,,,,205.0,-11.0,205.0,1,205.0
386,387,2010,1,17,2,4,,,,160.0,-11.0,160.0,1,160.0
387,388,2010,1,17,3,4,,,,150.0,-12.0,150.0,1,150.0
388,389,2010,1,17,4,4,,,,148.0,-12.0,148.0,1,148.0
389,390,2010,1,17,5,4,,,,208.0,-10.0,208.0,1,208.0
390,391,2010,1,17,6,4,,,,209.0,-11.0,209.0,1,209.0
391,392,2010,1,17,7,4,,,,183.0,-10.0,183.0,1,183.0
392,393,2010,1,17,8,4,,,,161.0,-10.0,161.0,1,161.0
393,394,2010,1,17,9,4,,,,182.0,-8.0,182.0,1,182.0
394,395,2010,1,17,10,4,,,,230.0,-6.0,230.0,1,230.0
395,396,2010,1,17,11,4,,,,170.0,-5.0,170.0,1,170.0
396,397,2010,1,17,12,4,,,,172.0,-4.0,172.0,1,172.0
